id,msid,title,abstract,cite_count,DOI,location
245,917108,'Retrieval evaluation with incomplete information',"'This paper examines whether the Cranfield evaluation methodology  is robust to gross violations of the completeness assumption (i.e., the assumption that all relevant documents within a test collection  have been identified and are present in the collection). We show that current evaluation measures are not robust to substantially incomplete relevance judgments. A new measure is introduced that is both highly correlated with existing measures when complete judgments are available and more robust to incomplete judgment sets. This finding suggests that substantially larger or dynamic test collections built using current pooling practices should be viable laboratory tools, despite the fact that the relevance information will be incomplete and imperfect.'",212,'10.1145/1008992.1009000','Research and Development in Information Retrieval - SIGIR'
246,917956,'Advice weaving in AspectJ',"'This paper describes the implementation of advice weaving in AspectJ. The AspectJ language picks out dynamic join points in a program's execution with pointcuts and uses advice to change the behavior at those join points. The core task of AspectJ's advice weaver is to statically transform a program so that at runtime it will behave according to the AspeetJ language semantics. This paper describes the 1.1 implementation which is based on transforming bytecode. We describe how AspectJ's join points are mapped to regions of bytecode, how these regions are efficiently matched by AspectJ's pointcuts, and how pieces of advice are efficiently implemented at these regions. We also discuss both run-time and compile-time performance of this implementation.'",207,'10.1145/976270.976276','Aspect-Oriented Software Development - AOSD'
247,965627,'Ecological interface design: theoretical foundations',"'A theoretical framework  for designing interfaces for complex human-machine systems is proposed. The framework, called ecological interface design  (EID), is based on the skills, rules, and knowledge taxonomy of cognitive control. The basic goals of EID are not to force processing to a higher level than the demands of the task require, and to support each of the three levels of cognitive control. Thus, an EID interface should not contribute to the difficulty of the task, and at the same time, it should support the entire range of activities that operators will be faced with. Three prescriptive design principles are suggested to achieve this objective, each directed at supporting a particular level of cognitive control. Particular attention is paid to presenting a coherent deductive argument justifying the principles of EID. Support for the EID framework is discussed. Some issues for future research are outlined'",332,'10.1109/21.156574',"'IEEE Transactions on Systems, Man, and Cybernetics - TSMC'"
248,1075120,'Design and Development of Multidevice User Interfaces through Multiple Logical Descriptions',"'The increasing availability of new types of interaction platforms raises a number of issues for designers and developers. There is a need for new methods and tools to support development of nomadic applications, which can be accessed through a variety of devices. This paper presents a solution, based on the use of three levels of abstractions, that allows designers to focus on the relevant logical aspects and avoid dealing with a plethora of low-level details. We have defined a number of transformations able to obtain user interfaces from such abstractions, taking into account the available platforms and their interaction modalities while preserving usability. The transformations are supported by an authoring tool, TERESA, which provides designers and developers with various levels of automatic support and several possibilities for tailoring such transformations to their needs.'",134,'10.1109/TSE.2004.40','IEEE Transactions on Software Engineering - TSE'
249,1237034,'prefuse: a toolkit for interactive information visualization',"'Although information visualization  (infovis) technologies have proven indispensable tools for making sense of complex data, wide-spread deployment has yet to take hold, as successful infovis applications are often difficult to author and require domain-specific customization. To address these issues, we have created prefuse, a software framework  for creating dynamic visualizations of both structured and unstructured data. prefuse provides theoretically-motivated abstractions for the design of a wide range of visualization applications, enabling programmers to string together desired components quickly to create and customize working visualizations. To evaluate prefuse we have built both existing and novel visualizations testing the toolkit's flexibility and performance, and have run usability studies and usage surveys finding that programmers find the toolkit usable and effective.'",278,'10.1145/1054972.1055031','Computer Human Interaction - CHI'
250,1237066,'Designing the spectator experience',"'Interaction is increasingly a public affair, taking place in our theatres, galleries, museums, exhibitions and on the city streets. This raises a new design challenge for HCI - how should spectators experience a performer's interaction with a computer? We classify public interfaces (including examples from art, performance and exhibition design) according to the extent to which a performer's manipulations of an interface and their resulting effects are hidden, partially revealed, fully revealed or even amplified for spectators. Our taxonomy uncovers four broad design strategies: 'secretive,' where manipulations and effects are largely hidden; 'expressive,' where they tend to be revealed enabling the spectator to fully appreciate the performer's interaction; 'magical,' where effects are revealed but the manipulations that caused them are hidden; and finally 'suspenseful,' where manipulations are apparent but effects are only revealed as the spectator takes their turn.'",89,'10.1145/1054972.1055074','Computer Human Interaction - CHI'
251,1240040,'Localization for mobile sensor networks',"'Many sensor network  applications require location awareness, but it is often too expensive to include a GPS receiver in a sensor network  node. Hence, localization schemes for sensor networks typically use a small number of seed nodes that know their location and protocols whereby other nodes estimate their location from the messages they receive. Several such localization techniques have been proposed, but none of them consider mobile nodes and seeds. Although mobility would appear to make localization more difficult, in this paper we introduce the sequential Monte Carlo  Localization method and argue that it can exploit mobility to improve the accuracy and precision of localization. Our approach does not require additional hardware on the nodes and works even when the movement of seeds and nodes is uncontrollable. We analyze the properties of our technique and report experimental results from simulations. Our scheme outperforms the best known static localization schemes under a wide range of conditions.'",392,'10.1145/1023720.1023726','Mobile Computing and Networking - MOBICOM'
252,1242320,'Improving recommendation lists through topic diversification',"'In this work we present topic diversification, a novel method designed to balance and diversify personalized recommendation lists in order to reflect the user's complete spectrum  of interests. Though being detrimental to average accuracy, we show that our method improves user satisfaction  with recommendation lists, in particular for lists generated using the common item-based collaborative filtering  algorithm.Our work builds upon prior research on recommender systems, looking at properties of recommendation lists as entities in their own right rather than specifically focusing on the accuracy of individual recommendations. We introduce the intra-list similarity metric  to assess the topical diversity of recommendation lists and the topic diversification approach for decreasing the intra-list similarity. We evaluate our method using book recommendation data, including offline analysis on 361, !, 349 ratings and an online study involving more than 2, !, 100 subjects.'",193,'10.1145/1060745.1060754','World Wide Web Conference Series - WWW'
253,1250107,'Psychology of everyday things',"'This topic considers the design of everyday things. It begins with examples of bad design. The goal here is to have students realize that human problems and errors when dealing with technology are usually a result of design failure, and that good design accounts for human capabilities. It then introduces concepts and design principles that help us analyze bad design and create good designs. Students usually enjoy this section. They bring their own encounters of bad design into the discussion, and often propose fixes as well. '",1589,null,null
254,1250610,'Situated learning: legitimate peripheral participation',null,8961,null,null
255,1255978,'Plans and situated actions - the problem of human-machine communication',null,2147,null,null
256,1256003,'Connections: new ways of working in the networked organization',null,934,null,null
257,1256304,'A Probabilistic Approach to WLAN User Location Estimation','We estimate the location of a WLAN user based on radio signal strength  measurements performed by the user's mobile terminal. In our approach the physical properties  of the signal propagation are not taken into account directly. Instead the location estimation  is regarded as a machine learning  problem in which the task is to model how the signal strengths are distributed in different geographical areas based on a sample of measurements collected at several known locations. We present a probabilistic framework for solving the location estimation  problem. In the empirical part of the paper we demonstrate the feasibility of this approach by reporting results of field tests in which a probabilistic location estimation  method is validated in a real-world indoor environment.',265,'10.1023/A:1016003126882','International Journal of Wireless Information Networks - IJWIN'
258,1263332,'A Conceptual Framework and a Toolkit for Supporting the Rapid Prototyping of Context-Aware Applications',"'Abstract: Computing devices and applications are now used beyond the desktop, in diverseenvironments, and this trend toward ubiquitous computing  is accelerating. One challenge thatremains in this emerging research field is the ability to enhance the behavior of any applicationby informing it of the context of its use. By context, we refer to any information thatcharacterizes a situation related to the interaction between humans, applications and thesurrounding environment. Context-aware applications ...'",1142,'10.1207/S15327051HCI16234_02','Human-computer Interaction'
259,1273315,'Relevance feedback informarian retrieval',null,665,null,null
260,1282554,'Convex position estimation in wireless sensor networks',"'A method for estimating unknown node positions in a sensor network  based exclusively on connectivity-induced constraints is described. Known peer-to-peer communication in the network is modeled as a set of geometric constraints  on the node positions. The global solution  of a feasibility problem for these constraints yields estimates for the unknown positions of the nodes in the network. Providing that the constraints are tight enough, simulation illustrates that this estimate becomes close to the actual node positions. Additionally, a method for placing rectangular bounds around the possible positions for all unknown nodes in the network is given. The area of the bounding rectangles decreases as additional or tighter constraints are included in the problem. Specific models are suggested and simulated for isotropic and directional communication, representative of broadcast-based and optical transmission respectively, though the methods presented are not limited to these simple cases'",784,'10.1109/INFCOM.2001.916662','IEEE INFOCOM - INFOCOM'
261,1288930,'Position-based routing in ad hoc networks',"'ABSTRACT The recent availability of small, inexpensive low - power GPS receivers and techniques for finding relative coordinates based on signal strengths, and the need for the design of power efficient and scalable networks provided justifi cation  for  applying  position - based  routing methods in ad hoc networks A number of such algorithms were developed recently This tutorial will concentrate on schemes that are loop localized, and follow a single - path strategy, which are desirable characteristics for scalable routing protocols Routing protocols have two modes: greedy mode (when the forwarding node is able to advance the message toward the desti nation) and recovery mode (applied until return to greedy mode is possible) We shall discuss them separately Methods also differ in metrics used (hop count, power, cost, congestion, etc and in past traffic memorization at nodes (mem oryless or memorizing past traffic) Salient prop erties  to  be  emphasized  in  this  review  are guaranteed delivery, scalability, and robustness'",284,'10.1109/MCOM.2002.1018018','IEEE Communications Magazine - IEEE Commun. Mag.'
262,1293179,'The Meaning and Use of the Area under a Receiver Operating Characteristic (ROC) Curve1',null,1400,null,null
263,1293551,'The design of browsing and berrypicking techniques for the online search interface',null,479,'10.1108/eb024320','Online Information Review'
264,1298887,'Connecting the Physical World with Pervasive Networks',null,523,null,'IEEE Pervasive Computing'
265,1300220,'In user centered system design: new perspectives on human computer interaction',null,527,null,null
266,1300684,'Context-aware applications: from the laboratory to the marketplace',"'Current hardware developments are making mobile computing increasingly attractive. An important class of mobile applications are context-aware applications: applications that change their behaviour according to the user's present context-their location, who they are with, what the time of day  is, and so on. This article is about software design  for context-aware applications. Currently most such applications have been crafted by experts in research laboratories. Our aim is to factor out a simple class of context-aware applications and make the creation of these as easy as, say, creating Web pages '",293,'10.1109/98.626984','IEEE Personal Communications - IEEE Pers. Commun.'
267,1306732,'SpotON: An Indoor 3D Location Sensing Technology Based on RF Signal Strength',"'Providing a reliable technology and architecture for determining the location of real world objects and people will undoubtedly enable applications, customization, and inference not currently possible. This paper documents the creation of SpotON, a new tagging technology for three dimensional  location sensing based on radio signal strength  analysis. Although there are many aspects to the topic of location sensing and several of them will be briefly discussed, this paper is primarily concerned with the hardware and embedded system  development of such a system.'",278,null,null
268,1308012,'A Comparative Study of Texture Measures for Terrain Classification',"'Three standard approaches to automatic texture classification  make use of features based on the Fourier power spectrum, on second-order gray level statistics, and on first-order statistics of gray level differences, respectively. Feature sets of these types, all designed analogously, were used to classify two sets of terrain samples. It was found that the Fourier features generally performed more poorly, while the other feature sets all performned comparably.'",522,'10.1109/TSMC.1976.5408777',"'IEEE Transactions on Systems, Man, and Cybernetics - TSMC'"
269,1323523,'Characterizing Browsing Strategies in the World-Wide Web',"'This paper presents the results of a study conducted at Georgia Institute of Technology that captured client-side user events of NCSA's XMosaic. Actual user behavior, as determined from client-side log file analysis, supplemented our understanding of user navigation strategies as well as provided real interface usage data. Log file analysis  also yielded design and usability suggestions for WWW pages, sites and browsers. The methodology of the study and findings are discussed along with future research directions.'",516,'10.1016/0169-7552(95)00043-7','Computer Networks and Isdn Systems - CN'
270,1338289,'Towards a Better Understanding of Context and Context-Awareness',"'The use of context is important in interactive applications. It is par- ticularly important for applications where the user's context is changing rap- idly, such as in both handheld and ubiquitous computing. In order to better un- derstand how we can use context and facilitate the building of context-aware applications, we need to more fully understand what constitutes a context- aware application and what context is. Towards this goal, we have surveyed existing work in context-aware computing. In this paper, we provide an over- view of the results of this survey and, in particular, definitions and categories of context and context-aware. We conclude with recommendations for how this better understanding of context inform a framework for the development of context-aware applications.'",557,null,null
271,1412703,'The psychology of everyday things',null,908,null,null
272,1429752,"'Sensor networks: evolution, opportunities, and challenges'","'Wireless microsensor networks have been identified as one of the most important technologies for the 21st century. This paper traces the history of research in sensor networks over the past three decades, including two important programs of the Defense Advanced Research Projects Agency  (DARPA) spanning this period: the Distributed Sensor Networks (DSN) and the Sensor Information Technology  (SensIT) programs. Technology trends that impact the development of sensor networks are reviewed, and new applications such as infrastructure security, habitat monitoring, and traffic control  are presented. Technical challenges in sensor network  development include network discovery, control and routing, collaborative signal and information processing, tasking and querying, and security. The paper concludes by presenting some recent research results in sensor network  algorithms, including localized algorithms and directed diffusion, distributed tracking in wireless ad hoc networks, and distributed classification using local agents.'",923,'10.1109/JPROC.2003.814918','Proceedings of The IEEE - PIEEE'
273,1431140,'Reconfigurable context-sensitive middleware for pervasive computing',"'Context-sensitive applications need data from sensors, devices, and user actions, and might need ad hoc communication support to dynamically discover new devices and engage in spontaneous information exchange. Reconfigurable Context-Sensitive Middleware  facilitates the development and runtime operations of context-sensitive pervasive computing  software.'",260,'10.1109/MPRV.2002.1037720','IEEE Pervasive Computing'
274,1431169,'Bayesian filtering for location estimation','Bayesian-filter techniques provide a powerful statistical tool to help manage measurement uncertainty  and perform multisensor fusion and identity estimation. The authors survey Bayes filter implementations and show their application to real-world location-estimation tasks common in pervasive computing.',240,'10.1109/MPRV.2003.1228524','IEEE Pervasive Computing'
275,1646329,'A new location technique for the active office',"'Configuration of the computing and communications systems found at home and in the workplace is a complex task that currently requires the attention of the user. Researchers have begun to examine computers that would autonomously change their functionality based on observations of who or what was around them. By determining their context, using input from sensor systems distributed throughout the environment, computing devices could personalize themselves to their current user, adapt their behaviour according to their location, or react to their surroundings. The authors present a novel sensor system, suitable for large-scale deployment in indoor environments, which allows the locations of people and equipment to be accurately determined. We also describe some of the context-aware applications that might make use of this fine-grained location information'",706,'10.1109/98.626982','IEEE Personal Communications - IEEE Pers. Commun.'
276,1653128,'Toward the Next Generation of Recommender Systems: A Survey of the State-of-the-Art and Possible Extensions',"'This paper presents an overview of the field of recommender systems and describes the current generation of recommendation methods that are usually classified into the following three main categories: content-based, collaborative, and hybrid recommendation approaches. This paper also describes various limitations of current recommendation methods and discusses possible extensions that can improve recommendation capabilities and make recommender systems applicable to an even broader range of applications. These extensions include, among others, an improvement of understanding of users and items, incorporation of the contextual information  into the recommendation process, support for multcriteria ratings, and a provision of more flexible and less intrusive types of recommendations. Index TermsRecommender systems, collaborative filtering, rating estimation methods, extensions to recommender systems.'",1024,'10.1109/TKDE.2005.99','IEEE Transactions on Knowledge and Data Engineering - TKDE'
277,1685091,'Predictive System Shutdown and Other Architectural Techniques forEnergy Effcient Programmable Computation',"'With the popularity of portable devices such as personal digital assistants and personal communicators, as well as with increasing awareness of the economic and environmental costs of power consumption  by desktop computers, energy efficiency has emerged as an important issue in the design of electronic systems. While power efficient ASIC's with dedicated architectures have addressed the energy efficiency issue for niche applications such as DSP, much of the computation continues to be implemented as software running on programmable processors such as microprocessors, microcontrollers, and programmable DSP's. Not only is this true for general purpose computation on personal computers and workstations, but also for portable devices, application-specific systems etc. In fact, firmware and embedded software  executing on RISC and DSP processor cores that are embedded in ASIC's has emerged as a leading implementation methodology for speech coding, modem functionality, video compression, communication protocol  processing etc. This paper describes architectural techniques for energy efficient  implementation of programmable computation, particularly focussing on the computation needed in portable devices where event-driven user interfaces, communication protocols, and signal processing  play a dominant role. Two key approaches described here are predictive system shutdown and extended voltage scaling. Results indicate that a large reduction in power consumption  can be achieved over current day solutions with little or no loss in system performance.'",265,'10.1109/92.486080','IEEE Transactions on Very Large Scale Integration Systems - VLSI'
278,1702462,'A unifying reference framework for multi-target user interfaces',null,258,'10.1016/S0953-5438(03)00010-9','Interacting with Computers - IWC'
279,1954195,'Maca---a new channel access method for packet radio','n The existing Carrier Sense Multiple Access  (CSMA) method widely used i mateur packet radio  on shared simplex packet radio  channels frequently suffers from ',494,null,null
280,1970190,'Learning by Collaborating: Convergent Conceptual Change',null,374,'10.1207/s15327809jls0203_1','Journal of The Learning Sciences - J LEARN SCI'
281,1985854,'A Theoretical Comparison of Texture Algorithms',"'An evaluation of the ability of four texture analysis  algorithms to perform automatic texture discrimination will be described. The algorithms which will be examined are the spatial gray level dependence method (SGLDM), the gray level run length method (GLRLM), the gray level difference method (GLDM), and the power spectral method  (PSM). The evaluation procedure employed does not depend on the set of features used with each algorithm or the pattern recognition  scheme. Rather, what is examined is the amount of texturecontext information contained in the spatial gray level dependence matrices, the gray level run length matrices, the gray level difference density functions, and the power spectrum. The comparison will be performed in two steps. First, only Markov generated textures will be considered. The Markov textures employed are similar to the ones used by perceptual psychologist B. Julesz in his investigations of human texture perception. These Markov textures provide a convenient mechanism for generating certain example texture pairs which are important in the analysis process. In the second part of the analysis the results obtained by considering only Markov textures will be extended to all textures which can be represented by translation stationary random fields of order two. This generalization clearly includes a much broader class of textures than Markovian ones. The results obtained indicate that the SGLDM is the most powerful algorithm of the four considered, and that the GLDM is more powerful than the PSM.'",359,'10.1109/TPAMI.1980.4767008','IEEE Transactions on Pattern Analysis and Machine Intelligence - PAMI'
282,1999899,'Free software helps map and display data',"'When creating camera-ready figures, most scientists are familiar with the sequence of raw data --> processing --> final illustration and with the spending of large sums of money to finalize papers for submission to scientific journals, prepare proposals, and create overheads and slides for various presentations. This process can be tedious and is often done manually, since available commercial or in-house software usually can do only part of the job.To expedite this process, we introduce the Generic Mapping Tools  (GMT), which is a free, public domain software package  that can be used to manipulate columns of tabular data, time series, and gridded data sets and to display these data in a variety of forms ranging from simple x-y plots to maps and color, perspective, and shaded-relief illustrations. GMT uses the PostScript page description language, which can create arbitrarily complex images in gray tones or 24-bit true color by superimposing multiple plot files. Line drawings, bitmapped images, and text can be easily combined in one illustration. PostScript plot files are device-independent, meaning the same file can be printed at 300 dots per inch (dpi) on an ordinary laserwriter or at 2470 dpi on a phototypesetter when ultimate quality is needed. GMT software is written as a set of UNIX tools and is totally self contained and fully documented. The system is offered free of charge to federal agencies and nonprofit educational organizations worldwide and is distributed over the computer network  Internet.'",21769,'10.1029/90EO00319',"'Eos, Transactions American Geophysical Union'"
283,2029951,'Improved MDS-Based Localization',"'It is often useful to know the geographic po- sitions of nodes in a communications network, but adding GPS receivers or other sophisticated sensors to every node can be expensive. MDS-MAP is a recent localization method based on multidimentional scaling (MDS). It uses connec- tivity informationwho is within communications range of whomto derive the locations of the nodes in the network, and can take advantage of additional data, such as esti- mated distances between neighbors or known positions for certain anchor nodes, if they are available. However, MDS- MAP is an inherently centralized algorithm and is there- fore of limited utility in many applications. In this paper, we present a new variant of the MDS-MAP method, which we call patched MDS-MAP, that can easily be executed in a distributed fashion. Using extensive simulations, we show that the new algorithm not only preserves the good perfor- mance of original method on relatively uniform layouts, but also performs much better than the original on irregularly- shaped networks. The main idea is to build a local map at each node of the immediate vicinity and then merge these maps together to form a global map. This approach works much better for topologies in which the shortest path  dis- tance between two nodes does not correspond well to their Euclidean distance. We also discuss an optional refinement step that improves solution quality even further at the ex- pense of additional computation.'",253,'10.1109/INFCOM.2004.1354683','IEEE INFOCOM - INFOCOM'
284,2032116,'Dimensional overlap: Cognitive basis for stimulus-response compatibility--A model and taxonomy',"'In this article, we address the classic problem of stimulus- response (S-R) compatibility (SRC). A model is proposed that attempts to provide a systematic account of performance in highly compatible, incompatible, and noncompatible tasks. At the core of our model is the idea that when a particular S-R ensemble produces either high or low compatibility effects, it is because the stimulus and response sets in the ensemble have properties in common, and elements in the stimulus set auto- matically activate corresponding elements in the response set. Noncompatible tasks are those in which the stimulus and re- sponse sets have nothing in common. If the activated response is the required one, it will be executed rapidly and correctly; if it is not, then it will be relatively slow and error prone. Whether a particular S-R ensemble will produce compatibility effects is often quite easy to determine because of the relationship be- tween the stimulus and response sets. In the part of the model that treats the representational aspects of the problem, we pos- tulate that this relationship is based on the commonality, simi- larity, or correspondence of the sets in the ensemble. We call this the dimensional overlap of the ensemble. The automatic response activation mechanisms, as well as the response identi- fication processes underlying SRC effects, are the processing as- pect of the model. Even though the model is still in its qualita- tive development phase, it is able to make ordinal predictions concerning several different SRC effects, such as the effects of mapping, irrelevant dimensions, and number of alternatives. These effects had been viewed as unrelated empirical phenom- ena, and most of the work on SRC has dealt with them as mani- festations of unique, nongeneralizable properties of particular dimensions or specific tasks. This approach has led to different accounts being proposed for ""spatial,"" ""symbolic,"" ""sensori- motor;' and ""semantic"" tasks. Our model attempts to break with such past approaches in a fundamental way by proposing to account for most major SRC effects in terms of common basic cognitive mechanisms. This unitary approach leads to a taxonomy of SRC tasks that reveals striking similarities be- tween them and suggestive parallels with the experimental para- digms that have traditionally been used to investigate atten- tional, controlled, and automatic processes.'",602,'10.1037//0033-295X.97.2.253','Psychological Review - PSYCHOL REV'
285,2078233,'Distributed localization in wireless sensor networks: a quantitative comparison',"'This paper studies the problem of determining the node locations in ad-hoc sensor networks. We compare three distributed localization algorithms (Ad-hoc positioning, Robust positioning, and N -hop multilateration) on a single simulation platform. The algorithms share a common, three-phase structure: (1) determine node-anchor distances, (2) compute node positions, and (3) optionally refine the positions through an iterative procedure. We present a detailed analysis comparing the various alternatives for each phase, as well as a head-to-head comparison of the complete al- gorithms. The main conclusion is that no single algorithm performs best; which algorithm is to be preferred depends on the conditions (range errors, connectivity, anchor fraction, etc.). In each case, however, there is significant room for improving accuracy and/or increasing coverage.  2003 Elsevier B.V. All rights reserved.'",434,null,'International Symposium on Computer Networks - ISCN'
286,2099673,"'The Magical Number Seven, Plus or Minus Two Some Limits on Our Capacity for Processing Information'",null,1923,null,null
287,2141775,'COMPUTING AND APPLYING TRUST IN WEB-BASED SOCIAL NETWORKS',null,172,null,null
288,2341266,'A review of content-based image retrieval systems in medical applications - clinical benefits and future directions',"'Abstract: Content--based visual information retrieval  (CBVIR)or Content--Based Image Retrieval  (CBIR)has been one on the most vivid research areas in thefield of computer vision  over the last 10 years. Theavailability of large and steadily growing amounts ofvisual and multimedia data, and the development ofthe Internet underline the need to create thematicaccess methods that o#er more than simple text--based queries or requests based on matching exactdatabase fields. Many programs and tools...'",312,'10.1016/j.ijmedinf.2003.11.024','International Journal of Medical Informatics'
289,2382849,'The context toolkit: aiding the development of context-enabled applications',"'Context-enabled applications are just emerging and promisericher interaction by taking environmental context into account.However, they are difficult to build due to their distributednature and the use of unconventional sensors. The concepts oftoolkits and widget libraries in graphical user interfaces has beentremendously successtil, allowing programmers to leverage offexisting building blocks to build interactive systems more easily.We introduce the concept of context widgets that mediate betweenthe environment and the application in the same way graphicalwidgets mediate between the user and the application. We illustratethe concept of context widgets with the beginnings of a widgetlibrary we have developed for sensing presence, identity andactivity of people and things. We assess the success of ourapproach with two example context-enabled applications we havebuilt and an existing application to which we have addedcontext-sensing capabilities.'",537,'10.1145/302979.303126','Computer Human Interaction - CHI'
290,2463474,'Content-based image retrieval: approaches and trends of the new age',"'The last decade has witnessed great interest in research on content-based image retrieval. This has paved the way for a large number of new techniques and systems, and a growing interest in associated fields to support such systems. Likewise, digital imagery has expanded its horizon in many directions, resulting in an explosion in the volume of image data required to be organized. In this paper, we discuss some of the key contributions in the current decade related to image retrieval  and automated image annotation, spanning 120 references. We also discuss some of the key challenges involved in the adaptation of existing image retrieval  techniques to build useful systems that can handle real-world data. We conclude with a study on the trends in volume and impact of publications in the field with respect to venues/journals and sub-topics.'",127,'10.1145/1101826.1101866','ACM Multimedia Conference - MM'
291,3213339,"'Image retrieval: Ideas, influences, and trends of the new age'","'We have witnessed great interest and a wealth of promise in content-based image retrieval  as an emerging technology. While the last decade laid foundation to such promise, it also paved the way for a large number of new techniques and systems, got many new people involved, and triggered stronger association of weakly related elds. In this paper, we survey almost 300 key theoret- ical and empirical contributions in the current decade related to image retrieval  and automatic image annotation, and discuss the spawning of related sub-elds in the process. We also discuss signican t challenges involved in the adaptation of existing image retrieval  techniques to build systems that can be useful in the real-world. In retrospect of what has been achieved so far, we also conjecture what the future may hold for image retrieval  research.'",540,'10.1145/1348246.1348248','ACM Computing Surveys - CSUR'
292,4117448,'Expertise networks in online communities: structure and algorithms',"'Web-based communities have become important places for people to seek and share expertise. We find that networks in these communities typically differ in their topology from other online networks such as the World Wide Web. Systems targeted to augment web-based communities by automatically identifying users with expertise, for example, need to adapt to the underlying interaction dynamics. In this study, we analyze the Java Forum, a large online help-seeking community, using social network analysis  methods. We test a set of network-based ranking algorithms, including PageRank and HITS, on this large size social network  in order to identify users with high expertise. We then use simulations to identify a small number of simple simulation rules governing the question-answer dynamic in the network. These simple rules not only replicate the structural characteristics and algorithm performance on the empirically observed Java Forum, but also allow us to evaluate how other algorithms may perform in communities with different characteristics. We believe this approach will be fruitful for practical algorithm design  and implementation for online expertise-sharing communities.'",132,'10.1145/1242572.1242603','World Wide Web Conference Series - WWW'
293,4198036,'Random-Walk Computation of Similarities between Nodes of a Graph with Application to Collaborative Recommendation',"'This work presents a new perspective on characterizing the similarity between elements of a database or, more generally, nodes of a weighted and undirected graph. It is based on a Markov-chain model of random walk  through the database. More precisely, we compute quantities (the average commute time, the pseudoinverse of the Laplacian matrix  of the graph, etc.) that provide similarities between any pair of nodes, having the nice property of increasing when the number of paths connecting those elements increases and when the ""length"" of paths decreases. It turns out that the square root of the average commute time is a Euclidean distance  and that the pseudoinverse of the Laplacian matrix  is a kernel matrix (its elements are inner products closely related to commute times). A principal component analysis  (PCA) of the graph is introduced for computing the subspace projection of the node vectors in a manner that preserves as much variance as possible in terms of the Euclidean commute-time distance. This graph PCA provides a nice interpretation to the ""Fiedler vector,"" widely used for graph partitioning. The model is evaluated on a collaborative- recommendation task where suggestions are made about which movies people should watch based upon what they watched in the past. Experimental results on the MovieLens database show that the Laplacian-based similarities perform well in comparison with other methods. The model, which nicely fits into the so-called ""statistical relational learning"" framework, could also be used to compute document or word similarities, and, more generally, it could be applied to machine-learning and pattern-recognition tasks involving a relational database.'",128,'10.1109/TKDE.2007.46','IEEE Transactions on Knowledge and Data Engineering - TKDE'
294,4393367,'Features for image retrieval: an experimental comparison',"'An experimental comparison of a large number of dierent image descriptors for content-based image retrieval  is pre- sented. Many of the papers describing new techniques and descriptors for content-based image retrieval  describe their newly proposed methods as most appropriate without giving an in-depth comparison with all methods that were proposed earlier. In this paper , we first give an overview of a large vari- ety of features for content-based image retrieval  and compare them quantitatively on four dierent tasks: stock photo re- trieval, personal photo collection  retrieval, building retrieval, and medical image  retrieval. For the experiments, five dif- ferent, publicly available image databases are used and the retrieval performance of the features is analysed in detail. This allows for a direct comparison of all features consid- ered in this work and furthermore will allow a comparison of newly proposed features to these in the future. Additionally, the correlation of the features is analysed, which opens the way for a simple and intuitive method to find an initial set of suitable features for a new task. The article concludes with recommendations which features perform well for what type of data. Interestingly, the often used, but very simple, colour histogram performs well in the comparison and thus can be recommended as a simple baseline for many applications.'",66,'10.1007/s10791-007-9039-3','Information Retrieval - IR'
295,4428305,'A survey on context-aware systems',"'Abstract:Context-aware systems offer entirely new,opportunities for application developers and for end users by gathering,context data and adapting systems behaviour accordingly. Especially incombination,with  mobile ,devices  these  mechanisms ,are  of  high ,value  and ,are  used  to   increase usability  tremendously.  In  this  paper,  we  present  common  architecture  principles  of  context-aware systems  and derive a layered conceptual design  framework,to explain the different elements common  to  most  context-aware  architectures.  Based  on  these  design  principles,  we  introduce various  existing  context-aware  systems   focusing ,on  context-aware  middleware  ,and  frameworks, which  ease  the  development  of  context-aware  applications.  We  discuss  various  approaches,and ,analyse  important ,aspects  in  context-aware  computing ,on  the ,basis  of  the  presented systems. Keywords:context-awarene ss; context framework; context middleware; sensors; context model;'",353,'10.1504/IJAHUC.2007.014070','International Journal of Ad Hoc and Ubiquitous Computing - IJAHUC'
296,10148079,'Virtual object manipulation on a table-top AR environment',"'We address the problems of virtual object interaction  and user tracking in a table-top augmented reality  (AR) interface. In this setting there is a need for very accurate tracking and registration techniques and an intuitive and useful interface. This is especially true in AR interfaces for supporting face to face  collaboration where users need to be able to easily cooperate with each other. We describe an accurate vision-based tracking method for table-top AR environments and tangible user interface  (TUI) techniques based on this method that allow users to manipulate virtual objects in a natural and intuitive manner. Our approach is robust, allowing users to cover some of the tracking markers while still returning camera viewpoint information, overcoming one of the limitations of traditional computer vision  based systems. After describing this technique we describe its use in prototype AR applications'",250,'10.1109/ISAR.2000.880934','International Symposium on Mixed and Augmented Reality - ISMAR'
297,10168480,'Automatic categorization of medical images for content-based retrieval and data mining',"'Categorization of medical images means selecting the appropriate class for a given image out of a set of pre-defined categories. This is an important step for data mining  and content-based image retrieval  (CBIR). So far, published approaches are capable to distinguish up to 10 categories. In this paper, we evaluate automatic categorization into more than 80 categories describing the imaging modality and direction as well as the body part and biological system examined. Based on 6231 reference images from hospital routine, 85.5% correctness is obtained combining global texture features  with scaled images. With a frequency of 97.7%, the correct class is within the best ten matches, which is sufficient for medical CBIR applications.'",70,'10.1016/j.compmedimag.2004.09.010','Computerized Medical Imaging and Graphics - COMPUT MED IMAGING GRAPH'
